ticker,signal,regime,entry,exit,pnl,position_size,bars_held,timestamp_open,timestamp_close,close_reason,label,bucket
SPY,SELL,BEAR_TREND,683.69,678.04,6.4073,1.254475,5,2026-01-20 16:30:00+00:00,2026-01-20 19:00:00+00:00,TAKE_PROFIT,FULL,FULL
SPY,SELL,BEAR_TREND,678.04,682.49,-6.5057,1.302189,4,2026-01-20 19:00:00+00:00,2026-01-21 14:30:00+00:00,STOP_LOSS,FULL,FULL
SPY,BUY,BULL_TREND,689.8,696.0,5.762,1.02105,38,2026-01-22 16:00:00+00:00,2026-01-27 15:30:00+00:00,TAKE_PROFIT,FULL,FULL
SPY,BUY,BULL_TREND,696.0,691.56,-10.0844,2.019606,24,2026-01-27 15:30:00+00:00,2026-01-29 14:30:00+00:00,STOP_LOSS,FULL,FULL
SPY,SELL,TREND,688.97,693.97,-8.7237,1.570365,11,2026-01-29 15:00:00+00:00,2026-01-29 20:30:00+00:00,STOP_LOSS,FULL,FULL
SPY,BUY,BULL_TREND,693.97,689.17,-6.6448,1.241721,7,2026-01-29 20:30:00+00:00,2026-01-30 17:30:00+00:00,STOP_LOSS,FULL,FULL
SPY,SELL,BEAR_TREND,687.7,680.61,8.2099,1.254274,20,2026-02-03 17:30:00+00:00,2026-02-05 14:30:00+00:00,TAKE_PROFIT,FULL,FULL
SPY,SELL,BEAR_TREND,680.61,687.105,-5.9887,0.850109,16,2026-02-05 14:30:00+00:00,2026-02-06 16:00:00+00:00,STOP_LOSS,FULL,FULL
SPY,BUY,TREND,689.478,695.74,5.7907,1.014953,13,2026-02-06 19:00:00+00:00,2026-02-09 19:00:00+00:00,TAKE_PROFIT,FULL,FULL
SPY,BUY,BULL_TREND,695.74,689.72,-8.6969,1.323368,18,2026-02-09 19:00:00+00:00,2026-02-11 15:00:00+00:00,STOP_LOSS,FULL,FULL
SPY,SELL,BEAR_TREND,684.15,676.63,7.493,1.07369,17,2026-02-12 19:00:00+00:00,2026-02-17 14:30:00+00:00,TAKE_PROFIT,FULL,FULL
SPY,SELL,BEAR_TREND,676.63,682.46,-5.8444,0.91663,4,2026-02-17 14:30:00+00:00,2026-02-17 16:30:00+00:00,STOP_LOSS,FULL,FULL
SPY,BUY,TREND,688.515,683.52,-5.5578,1.002883,15,2026-02-18 15:30:00+00:00,2026-02-19 16:30:00+00:00,STOP_LOSS,FULL,FULL
SPY,SELL,BEAR_TREND,682.01,687.5301,-6.4915,1.069424,10,2026-02-23 18:30:00+00:00,2026-02-24 17:00:00+00:00,STOP_LOSS,FULL,FULL
SPY,BUY,TREND,691.32,685.69,-7.6924,1.245022,14,2026-02-25 14:30:00+00:00,2026-02-26 15:00:00+00:00,STOP_LOSS,FULL,FULL
SPY,SELL,BEAR_TREND,685.69,689.32,-5.8862,1.407694,11,2026-02-26 15:00:00+00:00,2026-02-26 20:30:00+00:00,STOP_LOSS,FULL,FULL
SPY,SELL,BEAR_TREND,682.8664,687.2199,-5.3536,1.091836,19,2026-02-27 14:30:00+00:00,2026-03-02 17:30:00+00:00,STOP_LOSS,FULL,FULL
SPY,SELL,TREND,669.85,677.56,-5.9517,0.721234,3,2026-03-03 15:00:00+00:00,2026-03-03 16:30:00+00:00,STOP_LOSS,FULL,FULL
SPY,SELL,BEAR_TREND,677.42,686.14,-6.7266,0.725717,8,2026-03-03 17:30:00+00:00,2026-03-04 15:00:00+00:00,STOP_LOSS,FULL,FULL
SPY,SELL,TREND,676.3,664.08,10.3949,0.889312,19,2026-03-05 18:00:00+00:00,2026-03-09 13:30:00+00:00,TAKE_PROFIT,FULL,FULL
SPY,SELL,BEAR_TREND,664.08,670.87,-5.1794,0.706917,5,2026-03-09 13:30:00+00:00,2026-03-09 16:00:00+00:00,STOP_LOSS,FULL,FULL
SPY,BUY,BULL_TREND,683.265,677.41,-5.4708,0.85521,4,2026-03-10 17:00:00+00:00,2026-03-10 19:00:00+00:00,STOP_LOSS,FULL,FULL
SPY,SELL,TREND,677.05,668.87,6.53,0.85417,14,2026-03-10 19:30:00+00:00,2026-03-12 13:30:00+00:00,TAKE_PROFIT,FULL,FULL
SPY,SELL,TREND,662.63,670.8,-7.534,0.865319,5,2026-03-13 17:30:00+00:00,2026-03-16 13:30:00+00:00,STOP_LOSS,FULL,FULL
SPY,SELL,TREND,661.57,656.33,5.8794,1.246977,2,2026-03-18 19:30:00+00:00,2026-03-19 14:00:00+00:00,TAKE_PROFIT,FULL,FULL
SPY,SELL,BEAR_TREND,656.33,649.43,6.5345,1.024136,21,2026-03-19 14:00:00+00:00,2026-03-20 18:00:00+00:00,TAKE_PROFIT,FULL,FULL
QQQ,SELL,BEAR_TREND,620.75,612.5175,8.6853,1.121768,12,2026-01-16 15:00:00+00:00,2026-01-20 14:30:00+00:00,TAKE_PROFIT,FULL,FULL
QQQ,SELL,BEAR_TREND,614.3,607.77,6.5483,1.083475,7,2026-01-20 16:30:00+00:00,2026-01-20 20:00:00+00:00,TAKE_PROFIT,FULL,FULL
QQQ,SELL,BEAR_TREND,607.77,612.6,-6.5422,1.22972,2,2026-01-20 20:00:00+00:00,2026-01-21 14:30:00+00:00,STOP_LOSS,FULL,FULL
QQQ,BUY,BULL_TREND,621.05,630.56,8.0902,0.89836,36,2026-01-22 16:00:00+00:00,2026-01-27 14:30:00+00:00,TAKE_PROFIT,FULL,FULL
